Name,Price,Discount Price,Category,Sub Category,Brand,id
Persil Hand Wash Detergent Gel 1L,429.0,429.0,CLEANING,LAUNDRY,PERSIL,14410
Persil Hand Wash Detergent Powder 1Kg,429.0,429.0,CLEANING,LAUNDRY,PERSIL,14411
Persil Hand Wash Detergent Powder 3.5Kg,1399.0,1399.0,CLEANING,LAUNDRY,PERSIL,14412
Persil Hand Wash Detergent Powder 500g,235.0,235.0,CLEANING,LAUNDRY,PERSIL,14413
Persil Hand Wash Detergent Powder Jar Lavender 400g,225.0,225.0,CLEANING,LAUNDRY,PERSIL,14414
Persil Hand Wash Detergent Powder Lavender 3.5Kg,1399.0,1399.0,CLEANING,LAUNDRY,PERSIL,14415
Persil Hand Wash Powder Jar 450g,225.0,225.0,CLEANING,LAUNDRY,PERSIL,14416
Persil Lavender Machine Wash Gel 1L,869.0,869.0,CLEANING,LAUNDRY,PERSIL,14447
Persil Lavender Machine Wash Gel 3L,2599.0,2599.0,CLEANING,LAUNDRY,PERSIL,14448
Persil Liquid Gel 1L,869.0,869.0,CLEANING,LAUNDRY,PERSIL,14449
Persil Liquid Gel 3L,2599.0,2599.0,CLEANING,LAUNDRY,PERSIL,14450
Persil Machine Wash Detergent Powder 1.5Kg,899.0,899.0,CLEANING,LAUNDRY,PERSIL,14451
Persil Machine Wash Detergent Powder 3Kg,1999.0,1999.0,CLEANING,LAUNDRY,PERSIL,14452
Persil Machine Wash Detergent Powder 4.5Kg,2799.0,2799.0,CLEANING,LAUNDRY,PERSIL,14453
Persil Machine Wash Detergent Powder 750g,459.0,459.0,CLEANING,LAUNDRY,PERSIL,14454
Persil Machine Wash Lavender 750g,459.0,459.0,CLEANING,LAUNDRY,PERSIL,14455
Persil Premium Machine Wash Gel 2.5L,2599.0,2599.0,CLEANING,LAUNDRY,PERSIL,14456
Persil Premium Machine Wash Gel 850ml,869.0,869.0,CLEANING,LAUNDRY,PERSIL,14457
Persil Washing Detergent Lavender 1Kg,429.0,429.0,CLEANING,LAUNDRY,PERSIL,14458
Persil Washing Detergent Lavender 500g,235.0,235.0,CLEANING,LAUNDRY,PERSIL,14459
Safisha Bleach Colour 500ml,152.0,152.0,CLEANING,LAUNDRY,SAFISHA,14326
Safisha Bleach Colour 750ml,215.0,215.0,CLEANING,LAUNDRY,SAFISHA,14327
Safisha Bleach Lemon 500ml,112.0,112.0,CLEANING,LAUNDRY,SAFISHA,14328
Safisha Bleach Regular 1L,194.0,194.0,CLEANING,LAUNDRY,SAFISHA,14329
Safisha Bleach Regular 5L,766.0,766.0,CLEANING,LAUNDRY,SAFISHA,14331
Safisha Bleach Regular 500ml,110.0,110.0,CLEANING,LAUNDRY,SAFISHA,14332
Safisha Bleach Regular 750ml,151.0,151.0,CLEANING,LAUNDRY,SAFISHA,14333
So Soft Fabric Softener & Conditioner Baby 2.5L,611.0,611.0,CLEANING,LAUNDRY,SO SOFT,14365
So Soft Fabric Softener & Conditioner Baby 750ml,243.0,243.0,CLEANING,LAUNDRY,SO SOFT,14366
So Soft Fabric Softener & Conditioner Fresh 2.5L,611.0,611.0,CLEANING,LAUNDRY,SO SOFT,14367
So Soft Fabric Softener & Conditioner Fresh 5L,1045.0,1045.0,CLEANING,LAUNDRY,SO SOFT,14368
